id,immagine,data_avvistamento,image_url,latitude,longitude,nome_classe,nome_scientifico,nome_comune,nome_famiglia,luogo,nome_breve
84896068,84896068.jpg,24-Jun-2021,https://static.inaturalist.org/photos/139587511/medium.jpg,45.44081645,12.11691922,Rettili,Trachemys scripta,Testuggine palustre americana,Emydidae,AREA UMIDA COMUNETTO,comunetto
72666409,72666409.jpg,2-Apr-2021,https://inaturalist-open-data.s3.amazonaws.com/photos/118517279/medium.jpeg,45.44132833,12.11684889,Funghi,Xanthoria parietina,Lichene giallo comune,Teloschistaceae,AREA UMIDA COMUNETTO,comunetto
248603310,248603310.jpg,22-Oct-2024,https://static.inaturalist.org/photos/444236473/medium.jpeg,45.44695437,12.08891137,Piante,Acer negundo,Acero americano,Sapindaceae,SCOLO PIONCA,pionca
248608627,248608627.jpg,22-Oct-2024,https://static.inaturalist.org/photos/444246466/medium.jpeg,45.44392165,12.08674715,Piante,Alnus glutinosa,Ontano comune,Betulaceae,SCOLO PIONCA,pionca
86335039,86335039.jpg,3-Jul-2021,https://static.inaturalist.org/photos/142211652/medium.jpeg,45.44433436,12.08335449,Piante,Ballota nigra,Marrubio Selvatico,Lamiaceae,SCOLO PIONCA,pionca
86335034,86335034.jpg,3-Jul-2021,https://static.inaturalist.org/photos/142210299/medium.jpeg,45.44433436,12.08335449,Piante,Broussonetia papyrifera,Gelso da carta,Moraceae,SCOLO PIONCA,pionca
86336779,86336779.jpg,3-Jul-2021,https://static.inaturalist.org/photos/142213904/medium.jpeg,45.44433436,12.08335449,Piante,Daucus carota,Carota,Apiaceae,SCOLO PIONCA,pionca
248606856,248606856.jpg,22-Oct-2024,https://static.inaturalist.org/photos/444242913/medium.jpeg,45.44465866,12.08496941,Piante,Euonymus europaeus,Fusaggine,Celastraceae,SCOLO PIONCA,pionca
86336777,86336777.jpg,3-Jul-2021,https://static.inaturalist.org/photos/142213788/medium.jpeg,45.44433436,12.08335449,Piante,Frangula alnus,Frangola,Rhamnaceae,SCOLO PIONCA,pionca
248608008,248608008.jpg,22-Oct-2024,https://static.inaturalist.org/photos/444245196/medium.jpeg,45.4439942,12.08736657,Piante,Frangula alnus,Frangola,Rhamnaceae,SCOLO PIONCA,pionca
248606941,248606941.jpg,22-Oct-2024,https://static.inaturalist.org/photos/444243113/medium.jpeg,45.44456947,12.08552367,Piante,Humulus lupulus,Luppolo comune,Cannabaceae,SCOLO PIONCA,pionca
248604278,248604278.jpg,22-Oct-2024,https://static.inaturalist.org/photos/444238588/medium.jpeg,45.44776139,12.0867841,Piante,Ligustrum vulgare,Ligustro comune,Oleaceae,SCOLO PIONCA,pionca
248603122,248603122.jpg,22-Oct-2024,https://static.inaturalist.org/photos/444236148/medium.jpeg,45.44696936,12.08856435,Piante,Populus alba,Pioppo bianco,Salicaceae,SCOLO PIONCA,pionca
248603462,248603462.jpg,22-Oct-2024,https://static.inaturalist.org/photos/444236856/medium.jpeg,45.44695923,12.08887609,Piante,Populus nigra,Pioppo nero,Salicaceae,SCOLO PIONCA,pionca
248602429,248602429.jpg,22-Oct-2024,https://static.inaturalist.org/photos/444234704/medium.jpeg,45.44736373,12.08606932,Piante,Populus tremula,Pioppo tremulo,Salicaceae,SCOLO PIONCA,pionca
96704576,96704576.jpg,28-Sep-2021,https://static.inaturalist.org/photos/160693380/medium.jpeg,45.4407999,12.0906169,Anfibi,Rana latastei,Rana di Lataste,Ranidae,SCOLO PIONCA,pionca
